GC=F,AAPL,MSFT,NVDA,META,GOOGL,AMZN,^GSPC,^DJI,^IXIC
4240.89990234375,,,,,,,,,
4241.2001953125,,,,,,,,,
4243.5,,,,,,,,,
4242.60009765625,,,,,,,,,
4241.39990234375,,,,,,,,,
4241.5,,,,,,,,,
4243.7001953125,,,,,,,,,
4244.0,,,,,,,,,
4246.7001953125,,,,,,,,,
4247.5,,,,,,,,,
4246.60009765625,,,,,,,,,
4245.89990234375,,,,,,,,,
4242.60009765625,,,,,,,,,
4244.2998046875,,,,,,,,,
4243.7998046875,,,,,,,,,
4243.89990234375,,,,,,,,,
4243.5,,,,,,,,,
4241.2998046875,,,,,,,,,
4242.2998046875,,,,,,,,,
4242.10009765625,,,,,,,,,
4241.10009765625,,,,,,,,,
4240.39990234375,,,,,,,,,
4238.5,,,,,,,,,
4238.7998046875,,,,,,,,,
4233.10009765625,,,,,,,,,
4234.0,,,,,,,,,
4233.89990234375,,,,,,,,,
4234.2001953125,,,,,,,,,
4235.39990234375,,,,,,,,,
4238.60009765625,,,,,,,,,
4240.10009765625,,,,,,,,,
4238.7998046875,,,,,,,,,
4237.89990234375,,,,,,,,,
4237.5,,,,,,,,,
4239.7001953125,,,,,,,,,
4238.2001953125,,,,,,,,,
4239.5,,,,,,,,,
4238.10009765625,,,,,,,,,
4238.7001953125,,,,,,,,,
4239.7001953125,,,,,,,,,
4238.0,,,,,,,,,
4237.7998046875,,,,,,,,,
4236.60009765625,,,,,,,,,
4237.60009765625,,,,,,,,,
4238.60009765625,,,,,,,,,
4238.0,,,,,,,,,
4240.2001953125,,,,,,,,,
4239.0,,,,,,,,,
4240.0,,,,,,,,,
4239.60009765625,,,,,,,,,
4238.2001953125,,,,,,,,,
4239.10009765625,,,,,,,,,
4238.7001953125,,,,,,,,,
4239.10009765625,,,,,,,,,
4239.39990234375,,,,,,,,,
4240.0,,,,,,,,,
4239.0,,,,,,,,,
4240.2001953125,,,,,,,,,
4237.89990234375,,,,,,,,,
4239.60009765625,,,,,,,,,
4238.0,,,,,,,,,
4238.2998046875,,,,,,,,,
4238.2998046875,,,,,,,,,
4238.10009765625,,,,,,,,,
4238.10009765625,,,,,,,,,
4237.7001953125,,,,,,,,,
4235.7998046875,,,,,,,,,
4236.2998046875,,,,,,,,,
4234.2001953125,,,,,,,,,
4235.60009765625,,,,,,,,,
4236.2001953125,,,,,,,,,
4236.60009765625,,,,,,,,,
4239.10009765625,,,,,,,,,
4238.7001953125,,,,,,,,,
4237.7001953125,,,,,,,,,
4236.10009765625,,,,,,,,,
4235.89990234375,,,,,,,,,
4233.39990234375,,,,,,,,,
4233.7001953125,,,,,,,,,
4234.7998046875,,,,,,,,,
4234.5,,,,,,,,,
4232.5,,,,,,,,,
4231.7001953125,,,,,,,,,
4233.2001953125,,,,,,,,,
4229.10009765625,,,,,,,,,
4227.39990234375,,,,,,,,,
4226.0,,,,,,,,,
4230.7001953125,,,,,,,,,
4230.2001953125,,,,,,,,,
4231.2001953125,,,,,,,,,
4230.7001953125,,,,,,,,,
4228.2998046875,,,,,,,,,
4231.89990234375,,,,,,,,,
4230.5,,,,,,,,,
4232.89990234375,,,,,,,,,
4231.5,,,,,,,,,
4231.7001953125,,,,,,,,,
4230.89990234375,,,,,,,,,
4228.5,,,,,,,,,
4227.0,,,,,,,,,
4227.2001953125,,,,,,,,,
4228.0,,,,,,,,,
4228.39990234375,,,,,,,,,
4234.2001953125,,,,,,,,,
4236.39990234375,,,,,,,,,
4234.7001953125,,,,,,,,,
4237.0,,,,,,,,,
4234.7998046875,,,,,,,,,
4233.5,,,,,,,,,
4232.39990234375,,,,,,,,,
4233.7998046875,,,,,,,,,
4233.7001953125,,,,,,,,,
4232.7998046875,,,,,,,,,
4234.2001953125,,,,,,,,,
4235.2998046875,,,,,,,,,
4238.60009765625,,,,,,,,,
4238.39990234375,,,,,,,,,
4239.7001953125,,,,,,,,,
4238.89990234375,,,,,,,,,
4238.39990234375,,,,,,,,,
4242.2001953125,,,,,,,,,
4243.7998046875,,,,,,,,,
4242.10009765625,,,,,,,,,
4242.0,,,,,,,,,
4242.2001953125,,,,,,,,,
4245.39990234375,,,,,,,,,
4243.2001953125,,,,,,,,,
4243.7998046875,,,,,,,,,
4244.5,,,,,,,,,
4245.60009765625,,,,,,,,,
4246.0,,,,,,,,,
4245.0,,,,,,,,,
4245.7001953125,,,,,,,,,
4245.60009765625,,,,,,,,,
4245.60009765625,,,,,,,,,
4245.89990234375,,,,,,,,,
4249.2998046875,,,,,,,,,
4249.2001953125,,,,,,,,,
4250.2001953125,,,,,,,,,
4250.39990234375,,,,,,,,,
4250.2998046875,,,,,,,,,
4250.39990234375,,,,,,,,,
4250.7001953125,,,,,,,,,
4250.7001953125,,,,,,,,,
4257.2001953125,,,,,,,,,
4255.7998046875,,,,,,,,,
